
            r               1s              2s              2p
        2.7394841   0.5818362E-03  -0.4748683E+00   0.4970637E+00
        2.8167403   0.4762548E-03  -0.4546344E+00   0.4829979E+00
        2.8954920   0.3927406E-03  -0.4344133E+00   0.4686233E+00
        2.9757418   0.3265322E-03  -0.4142878E+00   0.4539938E+00
        3.0574920   0.2738504E-03  -0.3943355E+00   0.4391627E+00
        3.1407439   0.2317144E-03  -0.3746282E+00   0.4241824E+00
        3.2254979   0.1977885E-03  -0.3552320E+00   0.4091041E+00
        3.3117542   0.1702523E-03  -0.3362069E+00   0.3939775E+00
        3.3995117   0.1476950E-03  -0.3176068E+00   0.3788504E+00
        3.4887690   0.1290279E-03  -0.2994796E+00   0.3637688E+00
        3.5795240   0.1134143E-03  -0.2818673E+00   0.3487765E+00
        3.6717737   0.1002131E-03  -0.2648058E+00   0.3339149E+00
        3.7655147   0.8893377E-04  -0.2483256E+00   0.3192230E+00
        3.8607430   0.7920094E-04  -0.2324514E+00   0.3047372E+00
        3.9574537   0.7072717E-04  -0.2172025E+00   0.2904910E+00
        4.0556417   0.6329143E-04  -0.2025933E+00   0.2765153E+00
        4.1553010   0.5672283E-04  -0.1886334E+00   0.2628381E+00
        4.2564253   0.5088810E-04  -0.1753278E+00   0.2494846E+00
        4.3590077   0.4568226E-04  -0.1626775E+00   0.2364770E+00
        4.4630407   0.4102152E-04  -0.1506796E+00   0.2238349E+00
        4.5685165   0.3683801E-04  -0.1393277E+00   0.2115749E+00
        4.6754268   0.3307590E-04  -0.1286122E+00   0.1997111E+00
