 
  EnergyXF(  1s(m=  0))=  -12.4951489387        12.5048517276       -25.0000006663 Int_Ort=         1.00000
    Energy(L= 81,ML= 0)=   -3.1249953610         3.1249950167        -6.2499903777 Int_Ort= 1.0000002261429
    Energy(L= 82,ML= 0)=   -3.1249956556         3.1249953266        -6.2499909822 Int_Ort= 1.0000002264030
    Energy(L= 83,ML= 0)=   -3.1249959298         3.1249956151        -6.2499915449 Int_Ort= 1.0000002266391
    Energy(L= 84,ML= 0)=   -3.1249961853         3.1249958836        -6.2499920689 Int_Ort= 1.0000002268537
    Energy(L= 85,ML= 0)=   -3.1249964235         3.1249961340        -6.2499925575 Int_Ort= 1.0000002270490
    Energy(L= 86,ML= 0)=   -3.1249966458         3.1249963674        -6.2499930132 Int_Ort= 1.0000002272270
    Energy(L= 87,ML= 0)=   -3.1249968534         3.1249965854        -6.2499934388 Int_Ort= 1.0000002273893
    Energy(L= 88,ML= 0)=   -3.1249970474         3.1249967891        -6.2499938365 Int_Ort= 1.0000002275375
    Energy(L= 89,ML= 0)=   -3.1249972289         3.1249969795        -6.2499942084 Int_Ort= 1.0000002276729
    Energy(L= 90,ML= 0)=   -3.1249973987         3.1249971577        -6.2499945564 Int_Ort= 1.0000002277969
    Energy(L= 91,ML= 0)=   -3.1249975578         3.1249973246        -6.2499948823 Int_Ort= 1.0000002279103
    Energy(L= 92,ML= 0)=   -3.1249977069         3.1249974809        -6.2499951878 Int_Ort= 1.0000002280144
    Energy(L= 93,ML= 0)=   -3.1249978467         3.1249976275        -6.2499954742 Int_Ort= 1.0000002281098
    Energy(L= 94,ML= 0)=   -3.1249979780         3.1249977650        -6.2499957430 Int_Ort= 1.0000002281973
    Energy(L= 95,ML= 0)=   -3.1249981013         3.1249978941        -6.2499959954 Int_Ort= 1.0000002282778
    Energy(L= 96,ML= 0)=   -3.1249982173         3.1249980153        -6.2499962325 Int_Ort= 1.0000002283518
    Energy(L= 97,ML= 0)=   -3.1249983264         3.1249981292        -6.2499964556 Int_Ort= 1.0000002284199
    Energy(L= 98,ML= 0)=   -3.1249984289         3.1249982364        -6.2499966653 Int_Ort= 1.0000002284827
    Energy(L= 99,ML= 0)=   -3.1249985254         3.1249983373        -6.2499968627 Int_Ort= 1.0000002285405
    Energy(L=100,ML= 0)=   -3.1249986165         3.1249984322        -6.2499970487 Int_Ort= 1.0000002285939
 
  EnergyXF(  2p(m=  1))=   -3.1249894366         3.1250108273        -6.2500002639 Int_Ort=         1.00000
    Energy(L=  0,ML= 1)=  NaN             NaN                  NaN                 Int_Ort= 0.0000000000000
    Energy(L=  1,ML= 1)=   -1.2046806281         0.7278911512        -1.9325717794 Int_Ort= 0.0896788312612
    Energy(L=  2,ML= 1)=   -1.5478527780         1.1015971772        -2.6494499553 Int_Ort= 0.2980946551957
    Energy(L=  3,ML= 1)=   -1.8707970024         1.4841701768        -3.3549671793 Int_Ort= 0.5315421699554
    Energy(L=  4,ML= 1)=   -2.1575074188         1.8435977036        -4.0011051224 Int_Ort= 0.7163486806977
    Energy(L=  5,ML= 1)=   -2.3977210123         2.1560153049        -4.5537363172 Int_Ort= 0.8374868854242
    Energy(L=  6,ML= 1)=   -2.5886162180         2.4098589550        -4.9984751730 Int_Ort= 0.9090931534365
    Energy(L=  7,ML= 1)=   -2.7339123707         2.6053009707        -5.3392133414 Int_Ort= 0.9492742624078
    Energy(L=  8,ML= 1)=   -2.8410981957         2.7500403413        -5.5911385371 Int_Ort= 0.9713762821451
    Energy(L=  9,ML= 1)=   -2.9186305937         2.8545953313        -5.7732259250 Int_Ort= 0.9835345263197
    Energy(L= 10,ML= 1)=   -2.9741625118         2.9291231696        -5.9032856814 Int_Ort= 0.9903044548694
    Energy(L= 11,ML= 1)=   -3.0138408081         2.9820049977        -5.9958458058 Int_Ort= 0.9941463513280
    Energy(L= 12,ML= 1)=   -3.0422720260         3.0195873412        -6.0618593672 Int_Ort= 0.9963761128135
    Energy(L= 13,ML= 1)=   -3.0627730290         3.0464484790        -6.1092215080 Int_Ort= 0.9977013679734
    Energy(L= 14,ML= 1)=   -3.0776810324         3.0658052910        -6.1434863234 Int_Ort= 0.9985080190794
    Energy(L= 15,ML= 1)=   -3.0886268820         3.0798900052        -6.1685168872 Int_Ort= 0.9990104903001
    Energy(L= 16,ML= 1)=   -3.0967460299         3.0902458254        -6.1869918553 Int_Ort= 0.9993304519561
    Energy(L= 17,ML= 1)=   -3.1028311192         3.0979415657        -6.2007726849 Int_Ort= 0.9995384638514
    Energy(L= 18,ML= 1)=   -3.1074386489         3.1037214344        -6.2111600833 Int_Ort= 0.9996763432949
    Energy(L= 19,ML= 1)=   -3.1109622950         3.1081075064        -6.2190698013 Int_Ort= 0.9997694020719
    Energy(L= 20,ML= 1)=   -3.1136829679         3.1114692370        -6.2251522049 Int_Ort= 0.9998332743417
    Energy(L= 21,ML= 1)=   -3.1158029652         3.1140705481        -6.2298735133 Int_Ort= 0.9998778040548
    Energy(L= 22,ML= 1)=   -3.1174693493         3.1161018038        -6.2335711531 Int_Ort= 0.9999093027713
    Energy(L= 23,ML= 1)=   -3.1187900390         3.1177016436        -6.2364916826 Int_Ort= 0.9999318867631
