        Distance           1s              1s              2p              2p              2p              2p
      0.106992E-02    0.237966E-01    0.237967E-01    0.130275E-04    0.130276E-04    0.130275E-04    0.130276E-04
      0.111358E-02    0.247621E-01    0.247623E-01    0.141108E-04    0.141109E-04    0.141108E-04    0.141109E-04
      0.115902E-02    0.257667E-01    0.257668E-01    0.152841E-04    0.152842E-04    0.152841E-04    0.152842E-04
      0.120631E-02    0.268117E-01    0.268119E-01    0.165549E-04    0.165550E-04    0.165549E-04    0.165550E-04
      0.125553E-02    0.278988E-01    0.278990E-01    0.179312E-04    0.179313E-04    0.179312E-04    0.179313E-04
      0.130676E-02    0.290297E-01    0.290299E-01    0.194219E-04    0.194219E-04    0.194219E-04    0.194219E-04
      0.136008E-02    0.302061E-01    0.302063E-01    0.210363E-04    0.210364E-04    0.210363E-04    0.210364E-04
      0.141557E-02    0.314299E-01    0.314300E-01    0.227848E-04    0.227849E-04    0.227848E-04    0.227849E-04
      0.147333E-02    0.327028E-01    0.327030E-01    0.246784E-04    0.246786E-04    0.246784E-04    0.246786E-04
      0.153344E-02    0.340269E-01    0.340271E-01    0.267293E-04    0.267294E-04    0.267293E-04    0.267294E-04
      0.159600E-02    0.354041E-01    0.354043E-01    0.289504E-04    0.289506E-04    0.289504E-04    0.289506E-04
      0.166112E-02    0.368366E-01    0.368368E-01    0.313559E-04    0.313560E-04    0.313559E-04    0.313560E-04
      0.172890E-02    0.383265E-01    0.383267E-01    0.339609E-04    0.339611E-04    0.339609E-04    0.339611E-04
      0.179943E-02    0.398761E-01    0.398763E-01    0.367821E-04    0.367823E-04    0.367821E-04    0.367823E-04
      0.187285E-02    0.414878E-01    0.414880E-01    0.398374E-04    0.398375E-04    0.398374E-04    0.398375E-04
      0.194926E-02    0.431639E-01    0.431641E-01    0.431460E-04    0.431462E-04    0.431460E-04    0.431462E-04
      0.202878E-02    0.449071E-01    0.449073E-01    0.467291E-04    0.467293E-04    0.467291E-04    0.467293E-04
      0.211155E-02    0.467198E-01    0.467200E-01    0.506092E-04    0.506094E-04    0.506092E-04    0.506094E-04
      0.219769E-02    0.486049E-01    0.486051E-01    0.548110E-04    0.548112E-04    0.548110E-04    0.548112E-04
      0.228735E-02    0.505651E-01    0.505653E-01    0.593610E-04    0.593613E-04    0.593610E-04    0.593613E-04
      0.238066E-02    0.526034E-01    0.526036E-01    0.642882E-04    0.642884E-04    0.642882E-04    0.642884E-04
      0.247778E-02    0.547227E-01    0.547229E-01    0.696235E-04    0.696238E-04    0.696235E-04    0.696238E-04
      0.257886E-02    0.569263E-01    0.569265E-01    0.754008E-04    0.754011E-04    0.754008E-04    0.754011E-04
      0.268406E-02    0.592174E-01    0.592176E-01    0.816565E-04    0.816568E-04    0.816565E-04    0.816568E-04
      0.279355E-02    0.615993E-01    0.615995E-01    0.884302E-04    0.884305E-04    0.884302E-04    0.884305E-04
      0.290751E-02    0.640756E-01    0.640757E-01    0.957645E-04    0.957649E-04    0.957645E-04    0.957649E-04
      0.302611E-02    0.666498E-01    0.666499E-01    0.103706E-03    0.103706E-03    0.103706E-03    0.103706E-03
      0.314955E-02    0.693256E-01    0.693258E-01    0.112304E-03    0.112305E-03    0.112304E-03    0.112305E-03
      0.327802E-02    0.721071E-01    0.721072E-01    0.121614E-03    0.121614E-03    0.121614E-03    0.121614E-03
      0.341172E-02    0.749981E-01    0.749982E-01    0.131693E-03    0.131693E-03    0.131693E-03    0.131693E-03
      0.355088E-02    0.780028E-01    0.780029E-01    0.142605E-03    0.142606E-03    0.142605E-03    0.142606E-03
      0.369571E-02    0.811255E-01    0.811256E-01    0.154419E-03    0.154420E-03    0.154419E-03    0.154420E-03
      0.384644E-02    0.843707E-01    0.843708E-01    0.167210E-03    0.167210E-03    0.167210E-03    0.167210E-03
      0.400332E-02    0.877429E-01    0.877430E-01    0.181056E-03    0.181057E-03    0.181056E-03    0.181057E-03
      0.416659E-02    0.912469E-01    0.912470E-01    0.196046E-03    0.196046E-03    0.196046E-03    0.196046E-03
      0.433652E-02    0.948876E-01    0.948876E-01    0.212272E-03    0.212273E-03    0.212272E-03    0.212273E-03
      0.451337E-02    0.986699E-01    0.986700E-01    0.229837E-03    0.229838E-03    0.229837E-03    0.229838E-03
      0.469742E-02    0.102599E+00    0.102599E+00    0.248851E-03    0.248851E-03    0.248851E-03    0.248851E-03
      0.488898E-02    0.106681E+00    0.106681E+00    0.269431E-03    0.269432E-03    0.269431E-03    0.269432E-03
      0.508834E-02    0.110921E+00    0.110921E+00    0.291708E-03    0.291708E-03    0.291708E-03    0.291708E-03
      0.529583E-02    0.115324E+00    0.115324E+00    0.315818E-03    0.315819E-03    0.315818E-03    0.315819E-03
      0.551177E-02    0.119897E+00    0.119897E+00    0.341914E-03    0.341915E-03    0.341914E-03    0.341915E-03
