        Distance           1s              1s              2p              2p              2p              2p
      0.808664E-03    0.167824E-01    0.167823E-01    0.213896E-05    0.213948E-05    0.213896E-05    0.213948E-05
      0.841661E-03    0.174643E-01    0.174643E-01    0.231689E-05    0.231745E-05    0.231689E-05    0.231745E-05
      0.876005E-03    0.181738E-01    0.181738E-01    0.250962E-05    0.251022E-05    0.250962E-05    0.251022E-05
      0.911751E-03    0.189120E-01    0.189120E-01    0.271836E-05    0.271902E-05    0.271836E-05    0.271902E-05
      0.948954E-03    0.196801E-01    0.196800E-01    0.294446E-05    0.294517E-05    0.294446E-05    0.294517E-05
      0.987676E-03    0.204791E-01    0.204791E-01    0.318935E-05    0.319011E-05    0.318935E-05    0.319011E-05
      0.102798E-02    0.213105E-01    0.213104E-01    0.345459E-05    0.345541E-05    0.345459E-05    0.345541E-05
      0.106992E-02    0.221754E-01    0.221753E-01    0.374187E-05    0.374276E-05    0.374187E-05    0.374276E-05
      0.111358E-02    0.230752E-01    0.230751E-01    0.405302E-05    0.405398E-05    0.405302E-05    0.405398E-05
      0.115902E-02    0.240113E-01    0.240112E-01    0.439002E-05    0.439106E-05    0.439002E-05    0.439106E-05
      0.120631E-02    0.249851E-01    0.249850E-01    0.475502E-05    0.475615E-05    0.475502E-05    0.475615E-05
      0.125553E-02    0.259982E-01    0.259981E-01    0.515034E-05    0.515155E-05    0.515034E-05    0.515155E-05
      0.130676E-02    0.270520E-01    0.270519E-01    0.557849E-05    0.557980E-05    0.557849E-05    0.557980E-05
      0.136008E-02    0.281483E-01    0.281482E-01    0.604220E-05    0.604362E-05    0.604220E-05    0.604362E-05
      0.141557E-02    0.292887E-01    0.292886E-01    0.654442E-05    0.654595E-05    0.654442E-05    0.654595E-05
      0.147333E-02    0.304749E-01    0.304748E-01    0.708833E-05    0.708998E-05    0.708833E-05    0.708998E-05
      0.153344E-02    0.317087E-01    0.317087E-01    0.767740E-05    0.767918E-05    0.767740E-05    0.767918E-05
      0.159600E-02    0.329922E-01    0.329921E-01    0.831536E-05    0.831729E-05    0.831536E-05    0.831729E-05
      0.166112E-02    0.343271E-01    0.343270E-01    0.900627E-05    0.900836E-05    0.900627E-05    0.900836E-05
      0.172890E-02    0.357155E-01    0.357154E-01    0.975452E-05    0.975677E-05    0.975452E-05    0.975677E-05
      0.179943E-02    0.371596E-01    0.371595E-01    0.105649E-04    0.105673E-04    0.105649E-04    0.105673E-04
      0.187285E-02    0.386614E-01    0.386613E-01    0.114424E-04    0.114450E-04    0.114424E-04    0.114450E-04
      0.194926E-02    0.402234E-01    0.402233E-01    0.123927E-04    0.123956E-04    0.123927E-04    0.123956E-04
      0.202878E-02    0.418478E-01    0.418477E-01    0.134219E-04    0.134249E-04    0.134219E-04    0.134249E-04
      0.211155E-02    0.435370E-01    0.435369E-01    0.145364E-04    0.145397E-04    0.145364E-04    0.145397E-04
      0.219769E-02    0.452937E-01    0.452936E-01    0.157433E-04    0.157468E-04    0.157433E-04    0.157468E-04
      0.228735E-02    0.471204E-01    0.471203E-01    0.170502E-04    0.170540E-04    0.170502E-04    0.170540E-04
      0.238066E-02    0.490198E-01    0.490197E-01    0.184654E-04    0.184695E-04    0.184654E-04    0.184695E-04
      0.247778E-02    0.509948E-01    0.509947E-01    0.199979E-04    0.200023E-04    0.199979E-04    0.200023E-04
      0.257886E-02    0.530483E-01    0.530482E-01    0.216573E-04    0.216620E-04    0.216573E-04    0.216620E-04
      0.268406E-02    0.551833E-01    0.551832E-01    0.234541E-04    0.234592E-04    0.234541E-04    0.234592E-04
      0.279355E-02    0.574030E-01    0.574029E-01    0.253997E-04    0.254052E-04    0.253997E-04    0.254052E-04
      0.290751E-02    0.597106E-01    0.597105E-01    0.275064E-04    0.275123E-04    0.275064E-04    0.275123E-04
      0.302611E-02    0.621094E-01    0.621093E-01    0.297874E-04    0.297938E-04    0.297874E-04    0.297938E-04
      0.314955E-02    0.646030E-01    0.646030E-01    0.322571E-04    0.322640E-04    0.322571E-04    0.322640E-04
      0.327802E-02    0.671950E-01    0.671950E-01    0.349311E-04    0.349385E-04    0.349311E-04    0.349385E-04
      0.341172E-02    0.698891E-01    0.698891E-01    0.378262E-04    0.378341E-04    0.378262E-04    0.378341E-04
      0.355088E-02    0.726892E-01    0.726892E-01    0.409606E-04    0.409692E-04    0.409606E-04    0.409692E-04
      0.369571E-02    0.755993E-01    0.755992E-01    0.443540E-04    0.443632E-04    0.443540E-04    0.443632E-04
      0.384644E-02    0.786235E-01    0.786234E-01    0.480278E-04    0.480377E-04    0.480278E-04    0.480377E-04
      0.400332E-02    0.817660E-01    0.817660E-01    0.520050E-04    0.520156E-04    0.520050E-04    0.520156E-04
      0.416659E-02    0.850314E-01    0.850313E-01    0.563105E-04    0.563219E-04    0.563105E-04    0.563219E-04
      0.433652E-02    0.884241E-01    0.884241E-01    0.609714E-04    0.609836E-04    0.609714E-04    0.609836E-04
      0.451337E-02    0.919489E-01    0.919489E-01    0.660167E-04    0.660298E-04    0.660167E-04    0.660298E-04
      0.469742E-02    0.956107E-01    0.956107E-01    0.714782E-04    0.714922E-04    0.714782E-04    0.714922E-04
      0.488898E-02    0.994145E-01    0.994145E-01    0.773898E-04    0.774048E-04    0.773898E-04    0.774048E-04
      0.508834E-02    0.103366E+00    0.103365E+00    0.837884E-04    0.838045E-04    0.837884E-04    0.838045E-04
      0.529583E-02    0.107469E+00    0.107469E+00    0.907141E-04    0.907313E-04    0.907141E-04    0.907313E-04
      0.551177E-02    0.111731E+00    0.111731E+00    0.982099E-04    0.982283E-04    0.982099E-04    0.982283E-04
      0.573651E-02    0.116156E+00    0.116156E+00    0.106323E-03    0.106342E-03    0.106323E-03    0.106342E-03
      0.597040E-02    0.120751E+00    0.120751E+00    0.115102E-03    0.115123E-03    0.115102E-03    0.115123E-03
      0.621381E-02    0.125521E+00    0.125521E+00    0.124604E-03    0.124626E-03    0.124604E-03    0.124626E-03
      0.646715E-02    0.130473E+00    0.130473E+00    0.134886E-03    0.134910E-03    0.134886E-03    0.134910E-03
      0.673080E-02    0.135614E+00    0.135614E+00    0.146012E-03    0.146038E-03    0.146012E-03    0.146038E-03
      0.700518E-02    0.140949E+00    0.140949E+00    0.158052E-03    0.158079E-03    0.158052E-03    0.158079E-03
      0.729074E-02    0.146486E+00    0.146486E+00    0.171078E-03    0.171107E-03    0.171078E-03    0.171107E-03
      0.758792E-02    0.152231E+00    0.152231E+00    0.185173E-03    0.185203E-03    0.185173E-03    0.185203E-03
      0.789721E-02    0.158191E+00    0.158191E+00    0.200422E-03    0.200454E-03    0.200422E-03    0.200454E-03
      0.821908E-02    0.164375E+00    0.164375E+00    0.216919E-03    0.216953E-03    0.216919E-03    0.216953E-03
      0.855406E-02    0.170788E+00    0.170788E+00    0.234765E-03    0.234802E-03    0.234765E-03    0.234802E-03
      0.890266E-02    0.177440E+00    0.177440E+00    0.254070E-03    0.254109E-03    0.254070E-03    0.254109E-03
      0.926546E-02    0.184336E+00    0.184337E+00    0.274952E-03    0.274993E-03    0.274952E-03    0.274993E-03
      0.964302E-02    0.191487E+00    0.191487E+00    0.297537E-03    0.297581E-03    0.297537E-03    0.297581E-03
      0.100359E-01    0.198899E+00    0.198899E+00    0.321964E-03    0.322010E-03    0.321964E-03    0.322010E-03
      0.104448E-01    0.206581E+00    0.206581E+00    0.348381E-03    0.348430E-03    0.348381E-03    0.348430E-03
      0.108704E-01    0.214542E+00    0.214542E+00    0.376949E-03    0.377000E-03    0.376949E-03    0.377000E-03
      0.113132E-01    0.222789E+00    0.222789E+00    0.407839E-03    0.407893E-03    0.407839E-03    0.407893E-03
      0.117740E-01    0.231333E+00    0.231332E+00    0.441238E-03    0.441295E-03    0.441238E-03    0.441295E-03
      0.122536E-01    0.240180E+00    0.240180E+00    0.477348E-03    0.477408E-03    0.477348E-03    0.477408E-03
